DATE;ID;rr;rr_i;rr_iii
1996-03-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-01 00:00:00+00:00;81;0.0;0.0;0.0
1996-04-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-04 00:00:00+00:00;81;19.0;5.0;14.3
1996-04-05 00:00:00+00:00;81;0.3;4.6;0.3
1996-04-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-08 00:00:00+00:00;81;0.6;0.1;0.6
1996-04-09 00:00:00+00:00;81;0.4;-1.0;-1.0
1996-04-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-04-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-04 00:00:00+00:00;81;-1.0;4.7;-1.0
1996-05-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-09 00:00:00+00:00;81;0.7;0.4;0.5
1996-05-10 00:00:00+00:00;81;29.5;-1.0;16.5
1996-05-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-05-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-07 00:00:00+00:00;81;0.3;-1.0;0.3
1996-06-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-09 00:00:00+00:00;81;6.1;0.2;6.1
1996-06-10 00:00:00+00:00;81;0.6;13.0;0.6
1996-06-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-06-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-01 00:00:00+00:00;81;0.0;-1.0;0.0
1996-07-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-05 00:00:00+00:00;81;0.4;-1.0;-1.0
1996-07-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-08 00:00:00+00:00;81;0.2;-1.0;-1.0
1996-07-09 00:00:00+00:00;81;1.8;-1.0;1.4
1996-07-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-07-11 00:00:00+00:00;81;1.5;-1.0;1.1
1996-07-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-01 00:00:00+00:00;81;5.8;-1.0;2.4
1996-08-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-05 00:00:00+00:00;81;4.4;0.4;-1.0
1996-08-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-07 00:00:00+00:00;81;14.3;-1.0;4.9
1996-08-08 00:00:00+00:00;81;0.4;0.2;0.4
1996-08-09 00:00:00+00:00;81;0.2;0.4;0.2
1996-08-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1996-08-11 00:00:00+00:00;81;0.3;0.4;0.2
1996-08-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
